 ID,PARAM,Date,Value,SYM
08MH024,1,1/5/65,6200,
08MH024,1,2/5/65,6400,
08MH024,1,3/5/65,6310,
08MH024,1,4/5/65,6030,
08MH024,1,5/5/65,5640,
08MH024,1,6/5/65,5490,
08MH024,1,7/5/65,5210,
08MH024,1,8/5/65,4980,
08MH024,1,9/5/65,4790,
08MH024,1,10/5/65,4730,
08MH024,1,11/5/65,4840,
08MH024,1,12/5/65,5070,
08MH024,1,13-05-65,5780,
08MH024,1,14-05-65,5520,
08MH024,1,15-05-65,5720,
08MH024,1,16-05-65,6060,
08MH024,1,17-05-65,6090,
08MH024,1,18-05-65,5860,
08MH024,1,19-05-65,5830,
08MH024,1,20-05-65,5890,
08MH024,1,21-05-65,5660,
08MH024,1,22-05-65,5410,
08MH024,1,23-05-65,5470,
08MH024,1,24-05-65,5470,
08MH024,1,25-05-65,5860,
08MH024,1,26-05-65,5550,
08MH024,1,27-05-65,6090,
08MH024,1,28-05-65,6770,
08MH024,1,29-05-65,7280,
08MH024,1,30-05-65,7560,
08MH024,1,31-05-65,7820,
08MH024,1,1/6/65,8160,
08MH024,1,2/6/65,8550,
08MH024,1,3/6/65,8920,
08MH024,1,4/6/65,9030,
08MH024,1,5/6/65,9090,
08MH024,1,6/6/65,9320,
08MH024,1,7/6/65,9400,
08MH024,1,8/6/65,9200,
08MH024,1,9/6/65,9090,
08MH024,1,10/6/65,9000,
08MH024,1,11/6/65,8920,
08MH024,1,12/6/65,8890,
08MH024,1,13-06-65,8920,
08MH024,1,14-06-65,9030,
08MH024,1,15-06-65,9200,
08MH024,1,16-06-65,9230,
08MH024,1,17-06-65,9150,
08MH024,1,18-06-65,8950,
08MH024,1,19-06-65,8610,
08MH024,1,20-06-65,8410,
08MH024,1,21-06-65,8380,
08MH024,1,22-06-65,8330,
08MH024,1,23-06-65,8040,
08MH024,1,24-06-65,7730,
08MH024,1,25-06-65,7390,
08MH024,1,26-06-65,6940,
08MH024,1,27-06-65,6540,
08MH024,1,28-06-65,6290,
08MH024,1,29-06-65,6200,
08MH024,1,30-06-65,6310,
08MH024,1,1/7/65,6510,
08MH024,1,2/7/65,6540,
