,Green,Red,NIR,SWIR1,SWIR2,Blue, ID,Date,Concentration,ln_Concentration,SSC_predicted,lnSSC_predicted,Year
0,0.10269250000000002,0.08800750000000002,0.04893,0.012822499999999987,0.005204999999999987,0.06741000000000003,08MH024,1984-07-19,132,4.882801922586371,59.72552569999998,3.4384272749999996,1984
1,0.09414,0.08918999999999999,0.04670250000000001,0.012327499999999991,0.007872500000000004,0.06328499999999998,08MH024,1984-09-28,80,4.382026634673881,140.30440127499983,4.443445574999998,1984
2,0.05217499999999997,0.039222499999999993,0.027150000000000007,0.00883500000000001,0.00492999999999999,0.05280750000000001,08MH024,1985-02-03,25,3.2188758248682006,62.122446600000174,3.330544500000002,1985
3,0.05764750000000002,0.05409999999999998,0.04076250000000001,0.017579999999999985,0.00883500000000001,0.0448325,08MH024,1985-03-07,100,4.605170185988092,143.9896553749997,4.273138349999995,1985
4,0.056327499999999975,0.05025000000000002,0.03589500000000001,0.015765,0.007844999999999991,0.04799500000000001,08MH024,1985-03-16,12,2.4849066497880004,121.91652875000037,4.034623425000004,1985
5,0.1046725,0.08891500000000002,0.05869249999999998,0.022804999999999992,0.017662499999999998,0.07054500000000002,08MH024,1985-08-14,55,4.007333185232471,51.72432727500019,3.232894200000002,1985
6,0.09295750000000003,0.07013249999999999,0.033475000000000005,0.005672499999999997,0.005699999999999983,0.061744999999999994,08MH024,1985-08-23,33,3.4965075614664802,-12.451345550000326,2.609965574999995,1985
7,0.09745375,0.08798,0.046345,0.006772499999999987,0.0017399999999999916,0.06083749999999999,08MH024,1985-09-24,46,3.828641396489095,102.62333229999999,3.9848499375,1985
8,0.067685,0.046207499999999985,0.027535000000000004,0.008890000000000009,0.00492999999999999,0.0443925,08MH024,1985-11-11,2,0.6931471805599453,-6.834146050000044,2.553769049999998,1985
9,0.300885,0.28265250000000003,0.2254525,0.045685,0.03636249999999999,0.26828375000000004,08MH024,1985-11-27,3,1.0986122886681098,84.14158027500028,3.2057937750000014,1985
10,0.097715,0.10046500000000003,0.07772249999999997,0.014967499999999995,0.008642499999999997,0.060603749999999984,08MH024,1986-05-29,468,6.148468295917647,208.5030702750003,4.984251225000004,1986
11,0.10639125000000002,0.08693499999999998,0.05915999999999999,0.008394999999999986,0.00429750000000001,0.07186500000000001,08MH024,1986-08-01,10,2.302585092994046,20.755656849999696,2.838866362499995,1986
12,0.08743000000000001,0.06864749999999997,0.034932500000000005,0.008917499999999995,0.005920000000000009,0.061167499999999986,08MH024,1986-08-26,31,3.4339872044851463,20.750771474999766,2.979623324999995,1986
13,0.03908500000000001,0.03328249999999999,0.021265000000000006,0.006195000000000006,0.007982500000000003,0.03442375,08MH024,1987-01-08,53,3.970291913552122,119.55716844999985,4.043065649999998,1987
14,0.05104750000000002,0.04227500000000001,0.02285999999999999,0.0075425000000000075,0.004132499999999983,0.03364,08MH024,1987-02-25,19,2.9444389791664403,97.03607149999989,3.826434674999998,1987
15,0.10315999999999997,0.09823749999999998,0.0718375,0.013564999999999994,0.007982500000000003,0.06553999999999999,08MH024,1987-05-16,259,5.556828061699537,144.19376862500002,4.263324975,1987
16,0.103545,0.09576249999999997,0.0445575,0.0058374999999999955,0.0044349999999999945,0.06908750000000002,08MH024,1987-06-26,123,4.812184355372417,118.14559262499978,4.256188724999997,1987
17,0.10346250000000001,0.08217750000000001,0.03534499999999999,0.004077499999999984,0.004792500000000005,0.06718999999999997,08MH024,1987-07-12,22,3.091042453358316,2.9831361499999502,2.8712150249999997,1987
19,0.0651275,0.04857249999999999,0.028057499999999985,0.009632499999999988,0.006305000000000005,0.045575000000000004,08MH024,1987-09-05,274,5.6131281063880705,34.40162572499983,3.0625300499999986,1987
20,0.05734499999999998,0.03977249999999999,0.03292500000000001,0.011254999999999987,0.00726750000000001,0.038479999999999986,08MH024,1987-09-21,5,1.6094379124341003,24.443505850000037,2.8129774500000004,1987
21,0.042027499999999995,0.024496249999999997,0.018817499999999987,0.008284999999999987,0.002537499999999998,0.027260000000000006,08MH024,1987-09-30,12,2.4849066497880004,20.549177775000004,2.8104851250000005,1987
22,0.06411,0.05059374999999999,0.04013,0.013509999999999994,0.008862499999999995,0.055337499999999984,08MH024,1987-10-16,6,1.791759469228055,60.78501874999989,3.2518320749999994,1987
23,0.07121875,0.06980249999999999,0.04385625,0.015022499999999994,0.010182499999999983,0.047238749999999996,08MH024,1988-04-09,4,1.3862943611198906,165.17796083749997,4.618703624999998,1988
24,0.0844875,0.06586999999999998,0.03171499999999999,0.01103499999999999,0.009192499999999992,0.05500749999999999,08MH024,1988-07-21,61,4.110873864173311,21.299904949999956,3.002086424999998,1988
25,0.084735,0.06504500000000002,0.029102500000000003,0.004599999999999993,0.005039999999999989,0.056217499999999976,08MH024,1988-07-30,54,3.9889840465642745,12.077586075000056,2.915732025000001,1988
26,0.08814499999999997,0.06867499999999999,0.08268624999999999,0.04765124999999999,0.03146750000000001,0.06455,08MH024,1988-08-31,2,0.6931471805599453,18.356157687500144,2.380087987500001,1988
27,0.09644999999999998,0.08231499999999997,0.03820499999999999,0.010567500000000007,0.008972499999999994,0.06312000000000001,08MH024,1989-07-24,55,4.007333185232471,62.31820314999989,3.551494349999998,1989
28,0.06383499999999998,0.05060749999999997,0.02291499999999999,0.007927500000000004,0.0070199999999999985,0.04089999999999999,08MH024,1989-09-10,3,1.0986122886681098,61.99152294999992,3.472281149999999,1989
