 ID,PARAM,Date,Concentration,SYM
08MH024,3,26-11-1965,17,
08MH024,3,27-11-1965,17,S
08MH024,3,28-11-1965,18,
08MH024,3,29-11-1965,20,S
08MH024,3,30-11-1965,20,
08MH024,3,1965-01-12,20,
08MH024,3,1965-02-12,20,
08MH024,3,1965-03-12,26,S
08MH024,3,1965-04-12,65,S
08MH024,3,1965-05-12,40,S
08MH024,3,1965-06-12,25,S
08MH024,3,1965-07-12,22,S
08MH024,3,1965-08-12,18,S
08MH024,3,1965-09-12,15,
08MH024,3,1965-10-12,14,S
08MH024,3,1965-11-12,15,S
08MH024,3,1965-12-12,14,S
08MH024,3,13-12-1965,14,S
08MH024,3,14-12-1965,14,S
08MH024,3,15-12-1965,14,S
08MH024,3,16-12-1965,13,
08MH024,3,17-12-1965,14,S
08MH024,3,18-12-1965,14,
08MH024,3,19-12-1965,11,
08MH024,3,20-12-1965,14,S
08MH024,3,21-12-1965,13,S
08MH024,3,22-12-1965,9,S
08MH024,3,23-12-1965,7,
08MH024,3,24-12-1965,8,S
08MH024,3,25-12-1965,10,
08MH024,3,26-12-1965,17,
08MH024,3,27-12-1965,23,S
08MH024,3,28-12-1965,21,
08MH024,3,29-12-1965,20,
08MH024,3,30-12-1965,18,
08MH024,3,31-12-1965,13,S
08MH024,3,1966-01-01,10,
08MH024,3,1966-02-01,9,S
08MH024,3,1966-03-01,12,S
08MH024,3,1966-04-01,15,
08MH024,3,1966-05-01,13,S
08MH024,3,1966-06-01,13,
08MH024,3,1966-07-01,15,S
08MH024,3,1966-08-01,27,
08MH024,3,1966-09-01,90,S
08MH024,3,1966-10-01,90,
08MH024,3,1966-11-01,49,
08MH024,3,1966-12-01,21,
08MH024,3,13-01-1966,20,S
08MH024,3,14-01-1966,20,
08MH024,3,15-01-1966,20,S
08MH024,3,16-01-1966,20,
08MH024,3,17-01-1966,17,S
08MH024,3,18-01-1966,15,
08MH024,3,19-01-1966,16,S
08MH024,3,20-01-1966,16,
08MH024,3,21-01-1966,13,S
08MH024,3,22-01-1966,10,
08MH024,3,23-01-1966,9,S
08MH024,3,24-01-1966,10,
08MH024,3,25-01-1966,10,S
08MH024,3,26-01-1966,9,
08MH024,3,27-01-1966,7,S
08MH024,3,28-01-1966,7,
08MH024,3,29-01-1966,5,S
08MH024,3,30-01-1966,5,
08MH024,3,31-01-1966,5,S
08MH024,3,1966-01-02,8,
08MH024,3,1966-02-02,7,
08MH024,3,1966-03-02,7,S
08MH024,3,1966-04-02,8,
08MH024,3,1966-05-02,9,S
08MH024,3,1966-06-02,12,
08MH024,3,1966-07-02,16,S
08MH024,3,1966-08-02,14,S
08MH024,3,1966-09-02,9,S
08MH024,3,1966-10-02,9,
08MH024,3,1966-11-02,10,
08MH024,3,1966-12-02,10,S
08MH024,3,13-02-1966,10,
08MH024,3,14-02-1966,10,S
08MH024,3,15-02-1966,10,
08MH024,3,16-02-1966,6,S
08MH024,3,17-02-1966,5,
08MH024,3,18-02-1966,6,
08MH024,3,19-02-1966,5,
08MH024,3,20-02-1966,5,S
08MH024,3,21-02-1966,9,
08MH024,3,22-02-1966,10,S
08MH024,3,23-02-1966,10,
08MH024,3,24-02-1966,10,S
08MH024,3,25-02-1966,10,
08MH024,3,26-02-1966,10,S
08MH024,3,27-02-1966,10,
08MH024,3,28-02-1966,10,S
08MH024,3,1966-01-03,7,S
08MH024,3,1966-02-03,5,
08MH024,3,1966-03-03,6,S
08MH024,3,1966-04-03,7,
08MH024,3,1966-05-03,7,S
08MH024,3,1966-06-03,8,
08MH024,3,1966-07-03,8,S
08MH024,3,1966-08-03,6,S
08MH024,3,1966-09-03,6,S
08MH024,3,1966-10-03,13,
08MH024,3,1966-11-03,12,S
08MH024,3,1966-12-03,11,
08MH024,3,13-03-1966,11,S
08MH024,3,14-03-1966,16,S
08MH024,3,15-03-1966,34,S
08MH024,3,16-03-1966,65,
08MH024,3,17-03-1966,95,S
08MH024,3,18-03-1966,90,
08MH024,3,19-03-1966,70,S
08MH024,3,20-03-1966,47,
08MH024,3,21-03-1966,30,S
08MH024,3,22-03-1966,27,
08MH024,3,23-03-1966,25,S
08MH024,3,24-03-1966,22,
08MH024,3,25-03-1966,17,S
08MH024,3,26-03-1966,17,
08MH024,3,27-03-1966,16,S
08MH024,3,28-03-1966,21,
08MH024,3,29-03-1966,32,
08MH024,3,30-03-1966,36,S
08MH024,3,31-03-1966,45,
08MH024,3,1966-01-04,95,S
08MH024,3,1966-02-04,200,
08MH024,3,1966-03-04,292,
08MH024,3,1966-04-04,364,
08MH024,3,1966-05-04,409,S
08MH024,3,1966-06-04,343,S
08MH024,3,1966-07-04,293,S
08MH024,3,1966-08-04,247,S
08MH024,3,1966-09-04,258,S
08MH024,3,1966-10-04,323,S
08MH024,3,1966-11-04,352,S
08MH024,3,1966-12-04,316,
08MH024,3,13-04-1966,214,
08MH024,3,14-04-1966,138,S
08MH024,3,15-04-1966,97,
08MH024,3,16-04-1966,92,S
08MH024,3,17-04-1966,102,
08MH024,3,18-04-1966,103,S
08MH024,3,19-04-1966,103,S
08MH024,3,20-04-1966,92,S
08MH024,3,21-04-1966,92,
08MH024,3,22-04-1966,71,S
08MH024,3,23-04-1966,71,
08MH024,3,24-04-1966,71,S
08MH024,3,25-04-1966,91,S
08MH024,3,26-04-1966,120,S
08MH024,3,27-04-1966,145,S
08MH024,3,28-04-1966,148,S
08MH024,3,29-04-1966,148,S
08MH024,3,30-04-1966,139,S
08MH024,3,1966-01-05,103,S
08MH024,3,1966-02-05,78,S
08MH024,3,1966-03-05,78,S
08MH024,3,1966-04-05,78,S
08MH024,3,1966-05-05,73,S
08MH024,3,1966-06-05,165,S
08MH024,3,1966-07-05,306,S
08MH024,3,1966-08-05,364,S
08MH024,3,1966-09-05,516,S
08MH024,3,1966-10-05,724,S
08MH024,3,1966-11-05,791,S
08MH024,3,1966-12-05,740,S
08MH024,3,13-05-1966,655,S
08MH024,3,14-05-1966,599,S
08MH024,3,15-05-1966,541,S
08MH024,3,16-05-1966,485,S
08MH024,3,17-05-1966,379,S
08MH024,3,18-05-1966,329,S
08MH024,3,19-05-1966,260,S
08MH024,3,20-05-1966,248,S
08MH024,3,21-05-1966,226,S
08MH024,3,22-05-1966,230,S
08MH024,3,23-05-1966,192,S
08MH024,3,24-05-1966,205,S
08MH024,3,25-05-1966,250,S
08MH024,3,26-05-1966,251,S
08MH024,3,27-05-1966,220,S
08MH024,3,28-05-1966,203,S
08MH024,3,29-05-1966,291,S
08MH024,3,30-05-1966,327,S
08MH024,3,31-05-1966,314,S
08MH024,3,1966-01-06,296,S
08MH024,3,1966-02-06,255,S
08MH024,3,1966-03-06,205,S
08MH024,3,1966-04-06,191,S
08MH024,3,1966-05-06,190,S
08MH024,3,1966-06-06,208,S
08MH024,3,1966-07-06,293,S
08MH024,3,1966-08-06,327,S
08MH024,3,1966-09-06,272,S
08MH024,3,1966-10-06,246,S
08MH024,3,1966-11-06,258,S
08MH024,3,1966-12-06,296,S
08MH024,3,13-06-1966,329,S
08MH024,3,14-06-1966,339,S
08MH024,3,15-06-1966,330,S
08MH024,3,16-06-1966,316,S
08MH024,3,17-06-1966,277,S
08MH024,3,18-06-1966,244,S
08MH024,3,19-06-1966,220,S
08MH024,3,20-06-1966,238,S
08MH024,3,21-06-1966,264,S
08MH024,3,22-06-1966,302,S
08MH024,3,23-06-1966,278,S
08MH024,3,24-06-1966,231,S
08MH024,3,25-06-1966,196,S
08MH024,3,26-06-1966,171,S
08MH024,3,27-06-1966,167,S
08MH024,3,28-06-1966,134,S
08MH024,3,29-06-1966,139,S
08MH024,3,30-06-1966,102,S
08MH024,3,1966-01-07,97,S
08MH024,3,1966-02-07,77,S
08MH024,3,1966-03-07,68,S
08MH024,3,1966-04-07,97,S
08MH024,3,1966-05-07,117,S
08MH024,3,1966-06-07,148,S
08MH024,3,1966-07-07,148,S
08MH024,3,1966-08-07,138,S
08MH024,3,1966-09-07,168,S
08MH024,3,1966-10-07,198,S
08MH024,3,1966-11-07,208,S
08MH024,3,1966-12-07,198,S
08MH024,3,13-07-1966,218,S
08MH024,3,14-07-1966,245,S
08MH024,3,15-07-1966,225,S
08MH024,3,16-07-1966,200,S
08MH024,3,17-07-1966,210,S
08MH024,3,18-07-1966,192,S
08MH024,3,19-07-1966,182,S
08MH024,3,20-07-1966,187,S
08MH024,3,21-07-1966,153,S
08MH024,3,22-07-1966,158,S
08MH024,3,23-07-1966,124,S
08MH024,3,24-07-1966,160,S
08MH024,3,25-07-1966,209,S
08MH024,3,26-07-1966,172,S
08MH024,3,27-07-1966,132,S
08MH024,3,28-07-1966,169,S
08MH024,3,29-07-1966,139,S
08MH024,3,30-07-1966,128,S
08MH024,3,31-07-1966,119,S
08MH024,3,1966-01-08,113,S
08MH024,3,1966-02-08,109,S
08MH024,3,1966-03-08,109,S
08MH024,3,1966-04-08,127,S
08MH024,3,1966-05-08,198,S
08MH024,3,1966-06-08,143,S
08MH024,3,1966-07-08,206,S
08MH024,3,1966-08-08,200,S
08MH024,3,1966-09-08,161,S
08MH024,3,1966-10-08,112,S
08MH024,3,1966-11-08,129,S
08MH024,3,1966-12-08,118,S
08MH024,3,13-08-1966,101,S
08MH024,3,14-08-1966,107,S
08MH024,3,15-08-1966,111,S
