,Concentration,Date,lnSSC_predicted,SSC_predicted,ln_Concentration,Value
153,,1984-06-02,,,,4580.0
154,,1984-06-03,,,,4940.0
155,,1984-06-04,,,,5090.0
156,,1984-06-05,,,,5070.0
157,,1984-06-06,,,,4980.0
158,,1984-06-07,,,,5080.0
159,,1984-06-08,,,,5470.0
160,,1984-06-09,,,,5660.0
161,,1984-06-10,,,,5900.0
162,,1984-06-11,,,,6220.0
163,,1984-06-12,,,,6680.0
164,,1984-06-13,,,,7180.0
165,,1984-06-14,,,,7780.0
166,,1984-06-15,,,,8210.0
167,,1984-06-16,,,,8590.0
168,,1984-06-17,,,,8760.0
169,,1984-06-18,,,,8790.0
170,,1984-06-19,,,,8740.0
171,,1984-06-20,,,,8570.0
172,,1984-06-21,,,,8280.0
173,,1984-06-22,,,,8010.0
174,,1984-06-23,,,,7760.0
175,,1984-06-24,,,,7570.0
176,,1984-06-25,,,,7540.0
177,,1984-06-26,,,,7650.0
178,,1984-06-27,,,,7890.0
179,,1984-06-28,,,,8310.0
180,,1984-06-29,,,,8860.0
181,,1984-06-30,,,,9050.0
182,,1984-07-01,,,,9000.0
183,,1984-07-02,,,,9110.0
184,,1984-07-03,,,,9120.0
185,,1984-07-04,,,,9080.0
186,,1984-07-05,,,,8870.0
187,,1984-07-06,,,,8610.0
188,,1984-07-07,,,,8260.0
189,,1984-07-08,,,,8060.0
190,,1984-07-09,,,,8240.0
191,,1984-07-10,,,,8430.0
192,,1984-07-11,,,,8190.0
193,,1984-07-12,,,,7910.0
194,,1984-07-13,,,,7630.0
195,,1984-07-14,,,,7500.0
196,,1984-07-15,,,,7410.0
197,,1984-07-16,,,,7470.0
198,,1984-07-17,,,,7430.0
199,,1984-07-18,,,,7360.0
200,132.0,1984-07-19,3.4384272749999996,59.72552569999998,4.882801922586371,7220.0
201,,1984-07-20,,,,7150.0
202,,1984-07-21,,,,7160.0
203,,1984-07-22,,,,6980.0
204,,1984-07-23,,,,6740.0
205,,1984-07-24,,,,6440.0
206,,1984-07-25,,,,6150.0
207,,1984-07-26,,,,5990.0
208,,1984-07-27,,,,5830.0
209,,1984-07-28,,,,5740.0
210,,1984-07-29,,,,5810.0
211,,1984-07-30,,,,5980.0
212,,1984-07-31,,,,6100.0
213,,1984-08-01,,,,6110.0
214,,1984-08-02,,,,5980.0
215,,1984-08-03,,,,5860.0
216,,1984-08-04,,,,5720.0
217,,1984-08-05,,,,5600.0
218,,1984-08-06,,,,5550.0
219,,1984-08-07,,,,5470.0
220,,1984-08-08,,,,5360.0
221,,1984-08-09,,,,5260.0
222,,1984-08-10,,,,5150.0
223,,1984-08-11,,,,5010.0
224,,1984-08-12,,,,4650.0
225,,1984-08-13,,,,4450.0
226,,1984-08-14,,,,4260.0
227,,1984-08-15,,,,4200.0
228,,1984-08-16,,,,3970.0
229,,1984-08-17,,,,3900.0
230,,1984-08-18,,,,3820.0
231,,1984-08-19,,,,3690.0
232,,1984-08-20,,,,3640.0
233,,1984-08-21,,,,3450.0
234,,1984-08-22,,,,3370.0
235,,1984-08-23,,,,3450.0
236,,1984-08-24,,,,3400.0
237,,1984-08-25,,,,3210.0
238,,1984-08-26,,,,3050.0
239,,1984-08-27,,,,3140.0
240,,1984-08-28,,,,3030.0
241,,1984-08-29,,,,3000.0
242,,1984-08-30,,,,3180.0
243,,1984-08-31,,,,3300.0
244,,1984-09-01,,,,3460.0
245,,1984-09-02,,,,3340.0
246,,1984-09-03,,,,3090.0
247,,1984-09-04,,,,2920.0
248,,1984-09-05,,,,2920.0
249,,1984-09-06,,,,3300.0
250,,1984-09-07,,,,3140.0
251,,1984-09-08,,,,2980.0
252,,1984-09-09,,,,2930.0
253,,1984-09-10,,,,3130.0
254,,1984-09-11,,,,3340.0
255,,1984-09-12,,,,3460.0
256,,1984-09-13,,,,3580.0
