date,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,Green,Red,NIR,SWIR1,SWIR2,Blue
1984-07-19,9724.0,11007.0,10473.0,9052.0,7739.0,7462.0,0.10269250000000002,0.08800750000000002,0.04893,0.012822499999999987,0.005204999999999987,0.06741000000000003
1984-09-28,9574.0,10696.0,10516.0,8971.0,7721.0,7559.0,0.09414,0.08918999999999999,0.04670250000000001,0.012327499999999991,0.007872500000000004,0.06328499999999998
1985-02-03,9193.0,9170.0,8699.0,8260.0,7594.0,7452.0,0.05217499999999997,0.039222499999999993,0.027150000000000007,0.00883500000000001,0.00492999999999999,0.05280750000000001
1985-03-07,8903.0,9369.0,9240.0,8755.0,7912.0,7594.0,0.05764750000000002,0.05409999999999998,0.04076250000000001,0.017579999999999985,0.00883500000000001,0.0448325
1985-03-16,9018.0,9321.0,9100.0,8578.0,7846.0,7558.0,0.056327499999999975,0.05025000000000002,0.03589500000000001,0.015765,0.007844999999999991,0.04799500000000001
1985-08-14,9838.0,11079.0,10506.0,9407.0,8102.0,7915.0,0.1046725,0.08891500000000002,0.05869249999999998,0.022804999999999992,0.017662499999999998,0.07054500000000002
1985-08-23,9518.0,10653.0,9823.0,8490.0,7479.0,7480.0,0.09295750000000003,0.07013249999999999,0.033475000000000005,0.005672499999999997,0.005699999999999983,0.061744999999999994
1985-09-24,9485.0,10816.5,10472.0,8958.0,7519.0,7336.0,0.09745375,0.08798,0.046345,0.006772499999999987,0.0017399999999999916,0.06083749999999999
1985-11-11,8887.0,9734.0,8953.0,8274.0,7596.0,7452.0,0.067685,0.046207499999999985,0.027535000000000004,0.008890000000000009,0.00492999999999999,0.0443925
1985-11-27,17028.5,18214.0,17551.0,15471.0,8934.0,8595.0,0.300885,0.28265250000000003,0.2254525,0.045685,0.03636249999999999,0.26828375000000004
1986-05-29,9476.5,10826.0,10926.0,10099.0,7817.0,7587.0,0.097715,0.10046500000000003,0.07772249999999997,0.014967499999999995,0.008642499999999997,0.060603749999999984
1986-08-01,9886.0,11141.5,10434.0,9424.0,7578.0,7429.0,0.10639125000000002,0.08693499999999998,0.05915999999999999,0.008394999999999986,0.00429750000000001,0.07186500000000001
1986-08-26,9497.0,10452.0,9769.0,8543.0,7597.0,7488.0,0.08743000000000001,0.06864749999999997,0.034932500000000005,0.008917499999999995,0.005920000000000009,0.061167499999999986
1987-01-08,8524.5,8694.0,8483.0,8046.0,7498.0,7563.0,0.03908500000000001,0.03328249999999999,0.021265000000000006,0.006195000000000006,0.007982500000000003,0.03442375
1987-02-25,8496.0,9129.0,8810.0,8104.0,7547.0,7423.0,0.05104750000000002,0.04227500000000001,0.02285999999999999,0.0075425000000000075,0.004132499999999983,0.03364
1987-05-16,9656.0,11024.0,10845.0,9885.0,7766.0,7563.0,0.10315999999999997,0.09823749999999998,0.0718375,0.013564999999999994,0.007982500000000003,0.06553999999999999
1987-06-26,9785.0,11038.0,10755.0,8893.0,7485.0,7434.0,0.103545,0.09576249999999997,0.0445575,0.0058374999999999955,0.0044349999999999945,0.06908750000000002
1987-07-12,9716.0,11035.0,10261.0,8558.0,7421.0,7447.0,0.10346250000000001,0.08217750000000001,0.03534499999999999,0.004077499999999984,0.004792500000000005,0.06718999999999997
1987-07-28,14484.0,14751.0,13536.0,14593.0,8143.0,7695.0,0.20565250000000002,0.17224,0.20130750000000003,0.023932499999999995,0.011612499999999998,0.19831000000000001
1987-09-05,8930.0,9641.0,9039.0,8293.0,7623.0,7502.0,0.0651275,0.04857249999999999,0.028057499999999985,0.009632499999999988,0.006305000000000005,0.045575000000000004
